ID HCME               Pre-event               Last full visibility COR 2              GCS PARAMETER                     FIT
-                     date            time    date            time    carlon  stolon  stolat  tilt    ssprat  h_angle   apex s  CME-mass
-                     yyyymmdd        hhmm    yyyymmdd        hhmm    deg     deg     deg     deg     -       deg       km/s    g
HCME_A__20070509_01   2007-05-09      02:22   2007-05-09      12:52   88      -116    1       -17     0.43    10.1      282     9.50E+15
HCME_A__20070516_01   2007-05-15      18:52   2007-05-16      01:22   39      -79     13      52      0.35    28.2      352     4.00E+15
HCME_B__20070605_01   2007-06-04      17:00   2007-06-05      09:23   320     111     -10     2       0.45    28        192     3.80E+15
HCME_B__20070608_01   2007-06-07      18:30   2007-06-08      03:54   240     68      -12     -10     0.26    17        292     1.60E+15
HCME_A__20070709_01   2007-07-08      16:52   2007-07-09      00:52   55      -69     -8      7       0.23    24.6      337     5.00E+14
HCME_B__20070821_01   2007-08-21      07:00   2007-08-21      14:23   25      118     -13     33      0.24    13.1      409     2.90E+15
HCME_B__20071009_01   2007-10-08      14:20   2007-10-09      01:24   40      52      10      1       0.3     12.6      238     2.80E+15
HCME_A__20071104_01   2007-11-04      10:22   2007-11-04      22:52   310     -43     12      -27     0.3     18.5      259     3.10E+15
HCME_B__20071116_01   2007-11-16      09:20   2007-11-16      16:23   323     125     -15     6       0.32    18.4      344     1.60E+15
HCME_A__20071231_01   2007-12-31      00:22   2007-12-31      03:52   244     -88     -14     -58     0.33    23        844     6.00E+15
HCME_A__20080102_01   2008-01-02      09:52   2008-01-02      13:22   249     -52     -8      13      0.43    9.5       773     6.10E+15
HCME_B__20080129_01   2008-01-29      00:22   2008-01-29      08:23   53      105     3       5       0.23    10.3      255     1.30E+15
HCME_B__20080212_01   2008-02-12      01:52   2008-02-12      16:22   214     95      -26     4       0.37    17.9      227     4.60E+15
HCME_A__20080224_01   2008-02-23      17:52   2008-02-24      08:22   206     -120    19      25      0.24    11.7      202     3.80E+15
HCME_B__20080318_01   2008-03-17      09:52   2008-03-17      19:53   72      43      7       35      0.2     7.8       258     3.30E+15
HCME_A__20080325_01   2008-03-25      18:22   2008-03-25      21:22   198     -85     -7      -8      0.49    21.5      975     3.10E+15
HCME_A__20080426_01   2008-04-26      14:21   2008-04-26      18:22   203     -19     6       15      0.22    14        669     2.60E+15
HCME_A__20080517_01   2008-05-17      09:52   2008-05-17      12:52   264     -44     -12     0       0.38    11.7      999     8.00E+14
HCME_A__20080602_01   2008-06-01      12:22   2008-06-02      10:22   49      -48     -3      0       0.39    21.2      204     3.90E+15
HCME_B__20081027_01   2008-10-26      18:00   2008-10-27      06:24   9       52      -1      0       0.36    12.9      216     2.90E+15
HCME_B__20081212_01   2008-12-12      06:52   2008-12-12      14:52   70      4       5       51      0.27    10.1      419     4.50E+15
HCME_A__20081227_01   2008-12-27      04:52   2008-12-27      12:22   199     -30     16      -44     0.26    7.8       527     2.30E+15
HCME_A__20090114_01   2009-01-14      05:22   2009-01-14      12:22   326     -26     2       -45     0.25    18.5      426     3.00E+15
HCME_A__20090211_01   2009-02-10      23:52   2009-02-11      07:22   347     0       -7      3       0.22    10.6      316     3.00E+15
HCME_A__20090218_01   2009-02-18      04:22   2009-02-18      16:52   202     -47     11      -1      0.3     24.6      282     2.40E+15
HCME_A__20090423_01   2009-04-23      16:22   2009-04-24      09:22   38      -78     -2      -20     0.31    8.9       478     6.50E+15
HCME_A__20090805_01   2009-08-04      05:22   2009-08-05      00:22   222     24      -3      0       0.29    12        311     4.70E+15
HCME_B__20091031_01   2009-10-31      03:08   2009-10-31      10:08   157     33      -3      -36     0.4     12.9      383     5.30E+15
HCME_B__20091121_01   2009-11-21      07:08   2009-11-21      15:09   169     -36     -2      6       0.39    13.7      320     4.10E+15
HCME_A__20091216_01   2009-12-16      02:08   2009-12-16      07:08   238     -2      7       -6      0.31    22.4      371     2.20E+15
HCME_B__20100202_01   2010-02-01      14:08   2010-02-01      22:09   39      67      -18     15      0.28    23.2      382     6.70E+15
HCME_B__20100212_01   2010-02-11      12:00   2010-02-12      01:10   219     20      -16     -23     0.23    16.5      212     2.00E+14
HCME_B__20100214_01   2010-02-13      20:08   2010-02-14      06:08   198     28      11      -27     0.33    17.9      246     2.40E+15
HCME_A__20100225_01   2010-02-24      12:08   2010-02-25      01:08   340     -48     -24     -20     0.34    18.2      317     2.00E+15
HCME_B__20100301_01   2010-03-01      00:08   2010-03-01      07:08   19      47      -19     5       0.4     18.2      315     3.20E+15
HCME_B__20100319_01   2010-03-19      10:08   2010-03-19      21:08   106     19      -12     -7      0.39    18.7      267     2.60E+15
